coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
paddy driscoll,1920,1922,3,29,17,8,4,0.680,9,0,0,0.000,5.0,3,0,0,0
arnie horween,1923,1924,2,22,13,8,1,0.619,5,0,0,0.000,7.0,6,0,0,0
norm barry,1925,1926,2,26,16,8,2,0.667,8,0,0,0.000,5.5,1,1,0,0
ernie nevers,1930,1939,3,32,11,19,2,0.367,-8,0,0,0.000,5.3,4,0,0,0
paul schissler,1933,1934,2,22,6,15,1,0.286,-9,0,0,0.000,4.5,4,0,0,0
milan creighton,1935,1938,4,46,16,26,4,0.381,-10,0,0,0.000,4.0,3,0,0,0
jimmy conzelman,1940,1948,6,68,34,31,3,0.523,3,1,1,0.500,3.0,1,1,0,0
phil handler,1943,1951,5,38,4,34,0,0.105,-30,0,0,0.000,4.6,3,0,0,0
curly lambeau,1950,1951,2,22,7,15,0,0.318,-8,0,0,0.000,5.5,5,0,0,0
joe stydahar,1953,1954,2,24,3,20,1,0.130,-17,0,0,0.000,6.0,6,0,0,0
ray richards,1955,1957,3,36,14,21,1,0.400,-7,0,0,0.000,4.0,2,0,0,0
pop ivy,1958,1961,4,48,15,31,2,0.326,-16,0,0,0.000,4.8,4,0,0,0
wally lemm,1962,1965,4,56,27,26,3,0.509,1,0,0,0.000,4.0,2,0,0,0
charley winner,1966,1970,5,70,35,30,5,0.538,5,0,0,0.000,3.0,2,0,0,0
bob hollway,1971,1972,2,28,8,18,2,0.315,-10,0,0,0.000,4.0,4,0,0,0
don coryell,1973,1977,5,70,42,27,1,0.607,15,0,2,0.000,2.4,1,0,0,0
bud wilkinson,1978,1979,2,29,9,20,0,0.310,-11,0,0,0.000,4.5,4,0,0,0
jim hanifan,1980,1985,6,89,39,49,1,0.444,-10,0,1,0.000,3.8,3,0,0,0
gene stallings,1986,1989,4,58,23,34,1,0.405,-11,0,0,0.000,4.0,3,0,0,0
joe bugel,1990,1993,4,64,20,44,0,0.313,-24,0,0,0.000,4.8,4,0,0,0
buddy ryan,1994,1995,2,32,12,20,0,0.375,-8,0,0,0.000,4.0,3,0,0,0
vince tobin,1996,2000,5,71,28,43,0,0.394,-15,1,1,0.500,4.0,2,0,0,0
dave mcginnis,2000,2003,4,57,17,40,0,0.298,-23,0,0,0.000,4.3,4,0,0,0
dennis green,2004,2006,3,48,16,32,0,0.333,-16,0,0,0.000,3.3,3,0,0,0
ken whisenhunt,2007,2012,6,96,45,51,0,0.469,-6,4,2,0.667,2.3,1,0,0,1
bruce arians,2013,2017,5,80,49,30,1,0.619,19,1,2,0.333,2.2,1,0,0,0
kliff kingsbury,2019,2022,4,66,28,37,1,0.432,-9,0,1,0.000,3.3,2,0,0,0
jonathan gannon,2023,2025,3,51,15,36,0,0.294,-21,0,0,0.000,3.7,3,0,0,0
