coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
norb hecker,1966,1968,3,31,4,26,1,0.145,-22,0,0,0.000,5.0,4,0,0,0
norm van brocklin,1968,1974,7,89,37,49,3,0.433,-12,0,0,0.000,3.0,2,0,0,0
marion campbell,1974,1989,6,68,17,51,0,0.250,-34,0,0,0.000,3.7,3,0,0,0
leeman bennett,1977,1982,6,87,46,41,0,0.529,5,1,3,0.250,1.8,1,0,0,0
dan henning,1983,1986,4,64,22,41,1,0.352,-19,0,0,0.000,3.8,3,0,0,0
jerry glanville,1990,1993,4,64,27,37,0,0.422,-10,1,1,0.500,3.0,2,0,0,0
june jones,1994,1996,3,48,19,29,0,0.396,-10,0,1,0.000,3.0,2,0,0,0
dan reeves,1997,2003,7,109,49,59,1,0.454,-10,3,2,0.600,3.1,1,0,0,1
jim mora,2004,2006,3,48,26,22,0,0.542,4,1,1,0.500,2.3,1,0,0,0
mike smith,2008,2014,7,112,66,46,0,0.589,20,1,4,0.200,2.0,1,0,0,0
dan quinn,2015,2020,6,85,43,42,0,0.506,1,3,2,0.600,2.3,1,0,0,1
raheem morris,2020,2025,6,45,20,25,0,0.444,-5,0,0,0.000,3.0,2,0,0,0
arthur smith,2021,2023,3,51,21,30,0,0.412,-9,0,0,0.000,3.3,3,0,0,0
