coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
buster ramsey,1960,1961,2,28,11,16,1,0.411,-5,0,0,0.000,3.5,3,0,0,0
lou saban,1962,1976,9,117,68,45,4,0.598,23,2,2,0.500,2.4,1,2,0,0
joe collier,1966,1968,3,30,13,16,1,0.450,-3,0,1,0.000,3.0,1,0,0,0
harvey johnson,1968,1971,2,26,2,23,1,0.096,-21,0,0,0.000,5.0,5,0,0,0
john rauch,1969,1970,2,28,7,20,1,0.268,-13,0,0,0.000,3.5,3,0,0,0
jim ringo,1976,1977,2,23,3,20,0,0.130,-17,0,0,0.000,4.5,4,0,0,0
chuck knox,1978,1982,5,73,37,36,0,0.507,1,1,2,0.333,3.2,1,0,0,0
kay stephenson,1983,1985,3,36,10,26,0,0.278,-16,0,0,0.000,4.3,3,0,0,0
hank bullough,1985,1986,2,21,4,17,0,0.190,-13,0,0,0.000,4.5,4,0,0,0
marv levy,1986,1997,12,182,112,70,0,0.615,42,11,8,0.579,2.2,1,0,0,4
wade phillips,1998,2000,3,48,29,19,0,0.604,10,0,2,0.000,3.0,2,0,0,0
gregg williams,2001,2003,3,48,17,31,0,0.354,-14,0,0,0.000,4.0,3,0,0,0
mike mularkey,2004,2005,2,32,14,18,0,0.438,-4,0,0,0.000,3.0,3,0,0,0
dick jauron,2006,2009,4,57,24,33,0,0.421,-9,0,0,0.000,3.3,2,0,0,0
chan gailey,2010,2012,3,48,16,32,0,0.333,-16,0,0,0.000,4.0,4,0,0,0
doug marrone,2013,2014,2,32,15,17,0,0.469,-2,0,0,0.000,3.0,2,0,0,0
rex ryan,2015,2016,2,31,15,16,0,0.484,-1,0,0,0.000,3.0,3,0,0,0
sean mcdermott,2017,2025,9,148,98,50,0,0.662,48,8,8,0.500,1.6,1,0,0,0
