coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
george halas,1920,1967,40,497,318,148,31,0.671,170,6,3,0.667,2.7,1,6,0,0
ralph jones,1930,1932,3,41,24,10,7,0.671,14,0,0,0.000,2.3,1,1,0,0
luke johnsos,1942,1945,4,36,23,11,2,0.667,12,1,1,0.500,2.0,1,1,0,0
hunk anderson,1942,1945,4,36,23,11,2,0.667,12,1,1,0.500,2.0,1,1,0,0
paddy driscoll,1956,1957,2,24,14,9,1,0.604,5,0,1,0.000,3.0,1,0,0,0
jim dooley,1968,1971,4,56,20,36,0,0.357,-16,0,0,0.000,3.3,2,0,0,0
abe gibron,1972,1974,3,42,11,30,1,0.274,-19,0,0,0.000,4.0,4,0,0,0
jack pardee,1975,1977,3,42,20,22,0,0.476,-2,0,1,0.000,2.3,2,0,0,0
neill armstrong,1978,1981,4,64,30,34,0,0.469,-4,0,1,0.000,3.5,2,0,0,0
mike ditka,1982,1992,11,168,106,62,0,0.631,44,6,6,0.500,2.2,1,1,1,1
dave wannstedt,1993,1998,6,96,40,56,0,0.417,-16,1,1,0.500,4.0,3,0,0,0
dick jauron,1999,2003,5,80,35,45,0,0.438,-10,0,1,0.000,3.4,1,0,0,0
lovie smith,2004,2012,9,144,81,63,0,0.563,18,3,3,0.500,2.4,1,0,0,1
matt nagy,2018,2021,4,65,34,31,0,0.523,3,0,2,0.000,2.3,1,0,0,0
