coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
paul brown,1968,1975,8,112,55,56,1,0.496,-1,0,3,0.000,3.0,1,0,0,0
bill johnson,1976,1978,3,33,18,15,0,0.545,3,0,0,0.000,2.7,2,0,0,0
homer rice,1978,1979,2,27,8,19,0,0.296,-11,0,0,0.000,4.0,4,0,0,0
forrest gregg,1980,1983,4,57,32,25,0,0.561,7,2,2,0.500,2.3,1,0,0,1
sam wyche,1984,1991,8,127,61,66,0,0.480,-5,3,2,0.600,2.5,1,0,0,1
david shula,1992,1996,5,71,19,52,0,0.268,-33,0,0,0.000,3.2,2,0,0,0
bruce coslet,1996,2000,5,60,21,39,0,0.350,-18,0,0,0.000,4.4,3,0,0,0
dick lebeau,2000,2002,3,45,12,33,0,0.267,-21,0,0,0.000,5.0,4,0,0,0
marvin lewis,2003,2018,16,256,131,122,3,0.518,9,0,7,0.000,2.4,1,0,0,0
zac taylor,2019,2025,7,116,52,63,1,0.453,-11,5,2,0.714,2.9,1,0,0,1
