coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
paul brown,1946,1962,17,214,158,48,8,0.757,110,9,5,0.643,1.5,1,7,0,0
blanton collier,1963,1970,8,112,76,34,2,0.688,42,3,4,0.429,1.4,1,1,0,0
nick skorich,1971,1974,4,56,30,24,2,0.554,6,0,2,0.000,2.5,1,0,0,0
forrest gregg,1975,1977,3,41,18,23,0,0.439,-5,0,0,0.000,3.7,3,0,0,0
sam rutigliano,1978,1984,7,97,47,50,0,0.485,-3,0,2,0.000,2.7,1,0,0,0
marty schottenheimer,1984,1988,5,71,44,27,0,0.620,17,2,4,0.333,1.6,1,0,0,0
bud carson,1989,1990,2,25,11,13,1,0.460,-2,1,1,0.500,2.5,1,0,0,0
bill belichick,1991,1995,5,80,36,44,0,0.450,-8,1,1,0.500,3.0,2,0,0,0
chris palmer,1999,2000,2,32,5,27,0,0.156,-22,0,0,0.000,6.0,6,0,0,0
butch davis,2001,2004,4,59,24,35,0,0.407,-11,0,1,0.000,3.3,2,0,0,0
romeo crennel,2005,2008,4,64,24,40,0,0.375,-16,0,0,0.000,3.5,2,0,0,0
eric mangini,2009,2010,2,32,10,22,0,0.313,-12,0,0,0.000,3.5,3,0,0,0
pat shurmur,2011,2012,2,32,9,23,0,0.281,-14,0,0,0.000,4.0,4,0,0,0
mike pettine,2014,2015,2,32,10,22,0,0.313,-12,0,0,0.000,4.0,4,0,0,0
hue jackson,2016,2018,3,40,3,36,0,0.075,-33,0,0,0.000,3.7,3,0,0,0
kevin stefanski,2020,2025,6,101,45,56,0,0.446,-11,1,2,0.333,3.3,2,0,0,0
