coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
frank filchock,1960,1961,2,28,7,20,1,0.268,-13,0,0,0.000,3.5,3,0,0,0
jack faulkner,1962,1964,3,32,9,22,1,0.297,-13,0,0,0.000,3.3,2,0,0,0
mac speedle,1964,1966,3,26,6,19,1,0.250,-13,0,0,0.000,4.0,4,0,0,0
lou saban,1967,1971,5,65,20,42,3,0.331,-22,0,0,0.000,4.0,4,0,0,0
john ralston,1972,1976,5,70,34,33,3,0.507,1,0,0,0.000,2.4,2,0,0,0
red miller,1977,1980,4,62,40,22,0,0.645,18,2,3,0.400,2.0,1,0,0,1
dan reeves,1981,1992,12,184,110,73,1,0.601,37,7,6,0.538,2.3,1,0,0,3
wade phillips,1993,1994,2,32,16,16,0,0.500,0,0,1,0.000,3.5,3,0,0,0
mike shanahan,1995,2008,14,224,138,86,0,0.616,52,8,5,0.615,2.3,1,2,2,2
josh mcdaniels,2009,2010,2,28,11,17,0,0.393,-6,0,0,0.000,3.0,2,0,0,0
john fox,2011,2014,4,64,46,18,0,0.719,28,3,4,0.429,1.0,1,0,0,1
gary kubiak,2015,2016,2,32,21,11,0,0.656,10,3,0,1.000,2.0,1,1,1,1
vance joseph,2017,2018,2,32,11,21,0,0.344,-10,0,0,0.000,3.5,3,0,0,0
vic fangio,2019,2021,3,49,19,30,0,0.388,-11,0,0,0.000,3.3,2,0,0,0
sean payton,2023,2025,3,51,32,19,0,0.627,13,1,2,0.333,2.0,1,0,0,0
