coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,playoff_wins,playoff_losses,playoff_win_pct,AvRnk,BstRnk,Chmp,g_above_500
wayne fontes,1988,1996,9,133,66,67,0,0.496,1,4,0.200,3.0,1,0,-1
potsy clark,1931,1940,7,85,53,25,7,0.665,1,0,1.000,2.3,1,1,28
george wilson,1957,1964,8,104,53,45,6,0.538,2,2,0.500,3.1,1,1,8
dan campbell,2021,2025,5,85,48,36,1,0.571,2,2,0.500,2.2,1,0,12
buddy parker,1951,1956,6,72,47,23,2,0.667,3,1,0.750,2.2,1,2,24
monte clark,1978,1984,7,105,43,61,1,0.414,0,2,0.000,3.0,0,0,-18
joe schmidt,1967,1972,6,84,43,34,7,0.554,0,1,0.000,2.5,2,0,9
jim caldwell,2014,2017,4,64,36,28,0,0.563,0,2,0.000,2.3,2,0,8
jim schwartz,2009,2013,5,80,29,51,0,0.363,0,1,0.000,3.2,2,0,-22
bobby ross,1997,2000,4,57,27,30,0,0.474,0,2,0.000,3.5,3,0,-3
gus dorais,1943,1947,5,53,20,31,2,0.396,0,0,0.000,3.4,2,0,-11
darryl rogers,1985,1988,4,58,18,40,0,0.310,0,0,0.000,4.0,3,0,-22
rick forzano,1974,1976,3,32,15,17,0,0.469,0,0,0.000,2.3,2,0,-2
steve mariucci,2003,2005,3,43,15,28,0,0.349,0,0,0.000,3.3,3,0,-13
dutch clark,1937,1938,2,22,14,8,0,0.636,0,0,0.000,2.0,2,0,6
matt patricia,2018,2020,3,43,13,29,1,0.314,0,0,0.000,4.0,4,0,-16
bo mcmillin,1948,1950,3,36,12,24,0,0.333,0,0,0.000,4.3,4,0,-12
tommy hudspeth,1976,1977,2,24,11,13,0,0.458,0,0,0.000,3.0,3,0,-2
harry gilmer,1965,1966,2,28,10,16,2,0.393,0,0,0.000,6.0,6,0,-6
rod marinelli,2006,2008,3,48,10,38,0,0.208,0,0,0.000,3.7,3,0,-28
gus henderson,1939,1939,1,11,6,5,0,0.545,0,0,0.000,3.0,3,0,1
don mccafferty,1973,1973,1,14,6,7,1,0.464,0,0,0.000,2.0,2,0,-1
hal griffen,1930,1930,1,14,5,6,3,0.464,0,0,0.000,7.0,7,0,-1
marty mornhinweg,2001,2002,2,32,5,27,0,0.156,0,0,0.000,4.5,4,0,-22
bill edwards,1941,1942,2,14,4,9,1,0.321,0,0,0.000,4.0,3,0,-5
gary moeller,2000,2000,1,7,4,3,0,0.571,0,0,0.000,4.0,4,0,1
darrell bevell,2020,2020,1,5,1,4,0,0.200,0,0,0.000,4.0,4,0,-3
dick jauron,2005,2005,1,5,1,4,0,0.200,0,0,0.000,3.0,3,0,-3
bull karcis,1942,1942,1,8,0,8,0,0.000,0,0,0.000,5.0,5,0,-8
