coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,playoff_wins,playoff_losses,playoff_win_pct,AvRnk,BstRnk,g_above_500,Chmp,super_bowl_w,conf_wins
curly lambeau,1921,1949,29,209,104,21,21,0.548,3,2,0.600,3.0,1,105,6,0,0
mike mccarthy,2006,2018,13,204,125,77,2,0.618,10,8,0.556,1.8,1,48,1,1,1
vince lombardi,1959,1967,9,122,89,29,4,0.746,9,1,0.900,1.4,1,60,5,2,2
matt lafleur,2019,2025,7,117,76,40,1,0.654,3,6,0.333,1.9,1,36,0,0,0
mike holmgren,1992,1998,7,112,75,37,0,0.670,9,5,0.643,1.7,1,38,1,1,2
mike sherman,2000,2005,6,96,57,39,0,0.594,2,4,0.333,2.0,1,18,0,0,0
bart starr,1975,1983,9,131,52,76,3,0.408,1,1,0.500,3.2,1,-24,0,0,0
dan devine,1971,1974,4,56,25,27,4,0.482,0,1,0.000,2.8,1,-2,0,0,0
forrest gregg,1984,1987,4,63,25,37,1,0.405,0,0,0.000,2.8,2,-12,0,0,0
lindy infante,1988,1991,4,64,24,40,0,0.375,0,0,0.000,3.8,2,-16,0,0,0
phil bengtson,1968,1970,3,42,20,21,1,0.488,0,0,0.000,3.0,3,-1,0,0,0
lisle blackbourn,1954,1957,4,48,17,31,0,0.354,0,0,0.000,4.8,3,-14,0,0,0
gene ronzani,1950,1953,4,46,14,31,1,0.315,0,0,0.000,5.0,4,-17,0,0,0
ray rhodes,1999,1999,1,16,8,8,0,0.500,0,0,0.000,4.0,4,0,0,0,0
joe philbin,2018,2018,1,4,2,2,0,0.500,0,0,0.000,3.0,3,0,0,0,0
ray mclean,1953,1958,2,14,1,12,1,0.107,0,0,0.000,6.0,6,-11,0,0,0
hugh devore,1953,1953,1,2,0,2,0,0.000,0,0,0.000,6.0,6,-2,0,0,0
