coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
weeb ewbank,1954,1962,9,112,59,52,1,0.531,7,2,0,1.000,3.3,1,0,0,0
don shula,1963,1969,7,98,71,23,4,0.745,48,2,3,0.400,1.6,1,2,0,0
don mccafferty,1970,1972,3,33,22,10,1,0.682,12,4,1,0.800,2.0,1,0,0,1
ted marchibroda,1975,1995,9,138,71,67,0,0.514,4,2,4,0.333,2.9,1,1,1,1
mike mccormack,1980,1981,2,32,9,23,0,0.281,-14,0,0,0.000,4.0,4,0,0,0
frank kush,1982,1984,3,40,11,28,1,0.288,-17,0,0,0.000,4.3,4,0,0,0
rod dowhower,1985,1986,2,29,5,24,0,0.172,-19,0,0,0.000,4.5,4,0,0,0
ron meyer,1986,1991,6,71,36,35,0,0.507,1,0,1,0.000,3.0,1,0,0,0
lindy infante,1996,1997,2,32,12,20,0,0.375,-8,0,1,0.000,4.0,3,0,0,0
jim mora,1998,2001,4,64,32,32,0,0.500,0,0,2,0.000,3.0,1,0,0,0
tony dungy,2002,2008,7,112,85,27,0,0.759,58,7,6,0.538,1.3,1,1,1,1
jim caldwell,2009,2011,3,48,26,22,0,0.542,4,2,2,0.500,2.0,1,0,0,1
chuck pagano,2012,2017,6,96,53,43,0,0.552,10,3,3,0.500,2.0,1,0,0,0
frank reich,2018,2022,5,74,40,33,1,0.547,7,1,2,0.333,2.4,2,0,0,0
shane steichen,2023,2025,3,51,25,26,0,0.490,-1,0,0,0.000,2.3,2,0,0,0
