coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
hank stram,1960,1974,15,210,124,76,10,0.614,48,5,3,0.625,1.9,1,2,1,2
paul wiggin,1975,1977,3,35,11,24,0,0.314,-13,0,0,0.000,4.0,3,0,0,0
marv levy,1978,1982,5,73,31,42,0,0.425,-11,0,0,0.000,4.0,3,0,0,0
john mackovic,1983,1986,4,64,30,34,0,0.469,-4,0,1,0.000,4.0,2,0,0,0
frank gansz,1987,1988,2,31,8,22,1,0.274,-14,0,0,0.000,5.0,5,0,0,0
marty schottenheimer,1989,1998,10,160,101,58,1,0.634,43,3,7,0.300,1.9,1,0,0,0
gunther cunningham,1999,2000,2,32,16,16,0,0.500,0,0,0,0.000,2.5,2,0,0,0
dick vermeil,2001,2005,5,80,44,36,0,0.550,8,0,1,0.000,2.8,1,0,0,0
herm edwards,2006,2008,3,48,15,33,0,0.313,-18,0,1,0.000,3.0,2,0,0,0
todd haley,2009,2011,3,45,19,26,0,0.422,-7,0,1,0.000,3.0,1,0,0,0
andy reid,2013,2025,13,213,149,64,0,0.700,85,18,8,0.692,1.4,1,3,3,5
