coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
sid gillman,1960,1971,12,145,86,53,6,0.614,33,1,4,0.200,2.1,1,1,0,0
harland svare,1971,1973,3,26,7,17,2,0.308,-10,0,0,0.000,3.7,3,0,0,0
tommy prothro,1974,1978,5,60,21,39,0,0.350,-18,0,0,0.000,3.6,3,0,0,0
don coryell,1978,1986,9,125,69,56,0,0.552,13,3,4,0.429,3.0,1,0,0,0
al saunders,1986,1988,3,39,17,22,0,0.436,-5,0,0,0.000,4.0,3,0,0,0
dan henning,1989,1991,3,48,16,32,0,0.333,-16,0,0,0.000,4.7,4,0,0,0
bobby ross,1992,1996,5,80,47,33,0,0.588,14,3,3,0.500,2.2,1,0,0,1
kevin gilbride,1997,1998,2,22,6,16,0,0.273,-10,0,0,0.000,5.0,5,0,0,0
mike riley,1999,2001,3,48,14,34,0,0.292,-20,0,0,0.000,4.3,3,0,0,0
marty schottenheimer,2002,2006,5,80,47,33,0,0.588,14,0,2,0.000,2.4,1,0,0,0
norv turner,2007,2012,6,96,56,40,0,0.583,16,3,3,0.500,1.5,1,0,0,0
mike mccoy,2013,2016,4,64,27,37,0,0.422,-10,1,1,0.500,3.3,2,0,0,0
anthony lynn,2017,2020,4,64,33,31,0,0.516,2,1,1,0.500,2.8,2,0,0,0
brandon staley,2021,2023,3,48,24,24,0,0.500,0,0,1,0.000,3.0,2,0,0,0
jim harbaugh,2024,2025,2,34,22,12,0,0.647,10,0,2,0.000,2.0,2,0,0,0
