coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,playoff_wins,playoff_losses,playoff_win_pct,AvRnk,BstRnk,g_above_500,Chmp,super_bowl_w,conf_wins
dutch clark,1939,1942,4,44,16,26,2,0.409,0,0,0.000,4.0,3,-10,0,0,0
adam walsh,1945,1946,2,21,15,5,1,0.762,1,0,1.000,1.5,1,10,1,0,0
clark shaughnessy,1948,1949,2,24,14,7,3,0.708,0,1,0.000,2.0,1,7,0,0,0
joe stydahar,1950,1952,3,25,17,8,0,0.680,2,1,0.667,1.3,1,9,1,0,0
hampton pool,1952,1954,3,35,23,10,2,0.714,0,1,0.000,3.0,2,13,0,0,0
sid gillman,1955,1959,5,60,28,31,1,0.483,0,1,0.000,3.6,1,-3,0,0,0
bob waterfield,1960,1962,3,34,9,24,1,0.294,0,0,0.000,6.3,6,-15,0,0,0
harland svare,1962,1965,4,48,14,31,2,0.333,0,0,0.000,6.3,5,-17,0,0,0
george allen,1966,1970,5,70,49,17,4,0.757,0,2,0.000,1.8,1,32,0,0,0
tommy prothro,1971,1972,2,28,14,12,2,0.571,0,0,0.000,2.5,2,2,0,0,0
chuck knox,1973,1994,8,118,69,48,1,0.593,3,5,0.375,2.1,1,21,0,0,0
ray malavasi,1978,1982,5,73,40,33,0,0.548,3,3,0.500,2.2,1,7,0,0,1
john robinson,1983,1991,9,143,75,68,0,0.524,4,6,0.400,2.3,1,7,0,0,0
rich brooks,1995,1996,2,32,13,19,0,0.406,0,0,0.000,3.0,3,-6,0,0,0
dick vermeil,1997,1999,3,48,22,26,0,0.458,3,0,1.000,3.7,1,-4,1,1,1
mike martz,2000,2005,6,85,53,32,0,0.624,3,4,0.429,1.7,1,21,0,0,1
scott linehan,2006,2008,3,36,11,25,0,0.306,0,0,0.000,3.3,2,-14,0,0,0
steve spagnuolo,2009,2011,3,48,10,38,0,0.208,0,0,0.000,3.3,2,-28,0,0,0
jeff fisher,2012,2016,5,77,31,45,1,0.416,0,0,0.000,3.4,3,-14,0,0,0
sean mcvay,2017,2025,9,149,92,57,0,0.617,10,6,0.625,1.8,1,35,1,1,2
