coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
george wilson,1966,1969,4,56,15,39,2,0.286,-24,0,0,0.000,3.8,3,0,0,0
don shula,1970,1995,26,392,257,133,2,0.658,124,17,14,0.548,1.9,1,2,2,5
jimmy johnson,1996,1999,4,64,36,28,0,0.563,8,2,3,0.400,2.8,2,0,0,0
dave wannstedt,2000,2004,5,73,42,31,0,0.575,11,1,2,0.333,2.4,1,0,0,0
nick saban,2005,2006,2,32,15,17,0,0.469,-2,0,0,0.000,3.0,2,0,0,0
tony sparano,2008,2011,4,61,29,32,0,0.475,-3,0,1,0.000,2.5,1,0,0,0
joe philbin,2012,2015,4,52,24,28,0,0.462,-4,0,0,0.000,3.0,2,0,0,0
adam gase,2016,2018,3,48,23,25,0,0.479,-2,0,1,0.000,2.3,2,0,0,0
brian flores,2019,2021,3,49,24,25,0,0.490,-1,0,0,0.000,3.0,2,0,0,0
mike mcdaniel,2022,2025,4,68,35,33,0,0.515,-2,0,2,0.000,2.3,2,0,0,0
