coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
mike holovak,1961,1968,8,107,52,46,9,0.528,6,1,1,0.500,2.6,1,0,0,0
clive rush,1969,1970,2,21,5,16,0,0.238,-11,0,0,0.000,4.0,3,0,0,0
john mazur,1970,1972,3,30,9,21,0,0.300,-12,0,0,0.000,4.3,3,0,0,0
chuck fairbanks,1973,1978,6,85,46,39,0,0.541,7,0,2,0.000,2.8,1,0,0,0
ron erhardt,1978,1981,4,49,21,28,0,0.429,-7,0,0,0.000,2.5,1,0,0,0
ron meyer,1982,1984,3,33,18,15,0,0.545,3,0,1,0.000,2.3,2,0,0,0
raymond berry,1984,1989,6,87,48,39,0,0.552,9,3,2,0.600,2.5,1,0,0,1
dick macpherson,1991,1992,2,32,8,24,0,0.250,-16,0,0,0.000,4.5,4,0,0,0
bill parcells,1993,1996,4,64,32,32,0,0.500,0,2,2,0.500,2.8,1,0,0,1
pete carroll,1997,1999,3,48,27,21,0,0.563,6,1,2,0.333,3.3,1,0,0,0
bill belichick,2000,2023,24,387,266,121,0,0.687,145,30,12,0.714,1.6,1,6,6,9
