coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
tom fears,1967,1970,4,49,13,34,2,0.286,-21,0,0,0.000,3.5,3,0,0,0
jd roberts,1970,1972,3,35,7,25,3,0.243,-18,0,0,0.000,4.0,4,0,0,0
john north,1973,1975,3,34,11,23,0,0.324,-12,0,0,0.000,3.7,3,0,0,0
hank stram,1976,1977,2,28,7,21,0,0.250,-14,0,0,0.000,4.0,4,0,0,0
dick nolan,1978,1980,3,44,15,29,0,0.341,-14,0,0,0.000,3.0,2,0,0,0
bum phillips,1981,1985,5,69,27,42,0,0.391,-15,0,0,0.000,3.0,2,0,0,0
jim mora,1986,1996,11,167,93,74,0,0.557,19,0,4,0.000,2.8,1,0,0,0
mike ditka,1997,1999,3,48,15,33,0,0.313,-18,0,0,0.000,4.0,3,0,0,0
jim haslett,2000,2005,6,96,45,51,0,0.469,-6,1,1,0.500,2.5,1,0,0,0
sean payton,2006,2021,16,241,152,89,0,0.631,63,9,8,0.529,1.9,1,1,1,1
dennis allen,2022,2024,3,43,18,25,0,0.419,-7,0,0,0.000,3.0,2,0,0,0
