coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
earl potteiger,1927,1928,2,26,15,8,3,0.635,7,0,0,0.000,3.5,1,1,0,0
roy andrews,1929,1930,2,30,24,5,1,0.817,19,0,0,0.000,2.0,2,0,0,0
steve owen,1930,1953,24,270,153,100,17,0.598,53,2,8,0.200,2.3,1,2,0,0
jim lee howell,1954,1960,7,84,53,27,4,0.655,26,2,2,0.500,2.0,1,1,0,0
allie sherman,1961,1968,8,112,57,51,4,0.527,6,0,3,0.000,3.0,1,0,0,0
alex webster,1969,1973,5,70,29,40,1,0.421,-11,0,0,0.000,3.4,2,0,0,0
bill arnsparger,1974,1976,3,35,7,28,0,0.200,-21,0,0,0.000,4.7,4,0,0,0
john mcvay,1976,1978,3,37,14,23,0,0.378,-9,0,0,0.000,5.0,5,0,0,0
ray perkins,1979,1982,4,57,23,34,0,0.404,-11,1,1,0.500,4.0,3,0,0,0
bill parcells,1983,1990,8,127,77,49,1,0.610,28,8,3,0.727,2.4,1,2,2,2
ray handley,1991,1992,2,32,14,18,0,0.438,-4,0,0,0.000,4.0,4,0,0,0
dan reeves,1993,1996,4,64,31,33,0,0.484,-2,1,1,0.500,3.3,2,0,0,0
jim fassel,1997,2003,7,112,58,53,1,0.522,5,2,3,0.400,2.4,1,0,0,1
tom coughlin,2004,2015,12,192,102,90,0,0.531,12,8,3,0.727,2.2,1,2,2,2
ben mcadoo,2016,2017,2,28,13,15,0,0.464,-2,0,1,0.000,3.0,2,0,0,0
pat shurmur,2018,2019,2,32,9,23,0,0.281,-14,0,0,0.000,3.5,3,0,0,0
joe judge,2020,2021,2,33,10,23,0,0.303,-13,0,0,0.000,3.0,2,0,0,0
brian daboll,2022,2025,4,61,20,40,1,0.336,-20,1,1,0.500,3.5,3,0,0,0
