coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
sammy baugh,1960,1961,2,28,14,14,0,0.500,0,0,0,0.000,2.5,2,0,0,0
weeb ewbank,1963,1973,11,154,71,77,6,0.481,-6,2,1,0.667,2.6,1,1,1,1
charley winner,1974,1975,2,23,9,14,0,0.391,-5,0,0,0.000,4.0,4,0,0,0
walt michaels,1977,1982,6,87,39,47,1,0.454,-8,2,2,0.500,3.3,2,0,0,0
joe walton,1983,1989,7,111,53,57,1,0.482,-4,1,2,0.333,3.7,2,0,0,0
bruce coslet,1990,1993,4,64,26,38,0,0.406,-12,0,1,0.000,3.3,2,0,0,0
rich kotite,1995,1996,2,32,4,28,0,0.125,-24,0,0,0.000,5.0,5,0,0,0
bill parcells,1997,1999,3,48,29,19,0,0.604,10,1,1,0.500,2.7,1,0,0,0
herm edwards,2001,2005,5,80,39,41,0,0.488,-2,2,3,0.400,2.8,1,0,0,0
eric mangini,2006,2008,3,48,23,25,0,0.479,-2,0,1,0.000,2.7,2,0,0,0
rex ryan,2009,2014,6,96,46,50,0,0.479,-4,4,2,0.667,2.5,2,0,0,0
todd bowles,2015,2018,4,64,24,40,0,0.375,-16,0,0,0.000,3.5,2,0,0,0
adam gase,2019,2020,2,32,9,23,0,0.281,-14,0,0,0.000,3.5,3,0,0,0
robert saleh,2021,2024,4,56,20,36,0,0.357,-16,0,0,0.000,3.5,3,0,0,0
