coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
lud wray,1933,1935,3,31,9,21,1,0.306,-12,0,0,0.000,4.0,3,0,0,0
bert bell,1936,1940,5,56,10,44,2,0.196,-34,0,0,0.000,4.6,4,0,0,0
greasy neale,1941,1950,10,111,63,43,5,0.590,20,3,1,0.750,2.4,1,2,0,0
jim trimble,1952,1955,4,48,25,20,3,0.552,5,0,0,0.000,2.5,2,0,0,0
hugh devore,1956,1957,2,24,7,16,1,0.313,-9,0,0,0.000,5.5,5,0,0,0
buck shaw,1958,1960,3,36,19,16,1,0.542,3,1,0,1.000,2.7,1,1,0,0
nick skorich,1961,1963,3,42,15,24,3,0.393,-9,0,0,0.000,5.3,2,0,0,0
joe kuharich,1964,1968,5,70,28,41,1,0.407,-13,0,0,0.000,3.2,2,0,0,0
jerry williams,1969,1971,3,31,7,22,2,0.258,-15,0,0,0.000,4.0,3,0,0,0
ed khayat,1971,1972,2,25,8,15,2,0.360,-7,0,0,0.000,4.0,3,0,0,0
mike mccormack,1973,1975,3,42,16,25,1,0.393,-9,0,0,0.000,4.0,3,0,0,0
dick vermeil,1976,1982,7,101,54,47,0,0.535,7,3,4,0.429,2.9,1,0,0,1
marion campbell,1983,1985,3,47,17,29,1,0.372,-12,0,0,0.000,4.3,4,0,0,0
buddy ryan,1986,1990,5,79,43,35,1,0.551,8,0,3,0.000,2.6,1,0,0,0
rich kotite,1991,1994,4,64,36,28,0,0.563,8,1,1,0.500,3.0,2,0,0,0
ray rhodes,1995,1998,4,64,29,34,1,0.461,-5,1,2,0.333,3.0,2,0,0,0
andy reid,1999,2012,14,224,130,93,1,0.583,37,10,9,0.526,2.2,1,0,0,1
chip kelly,2013,2015,3,47,26,21,0,0.553,5,0,1,0.000,1.7,1,0,0,0
doug pederson,2016,2020,5,80,42,37,1,0.531,5,4,2,0.667,2.4,1,1,1,1
nick sirianni,2021,2025,5,85,59,26,0,0.694,33,6,4,0.600,1.4,1,1,1,2
