coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
joe bach,1935,1953,4,48,21,27,0,0.438,-6,0,0,0.000,3.3,2,0,0,0
johnny blood,1937,1939,3,25,6,19,0,0.240,-13,0,0,0.000,4.0,3,0,0,0
walt kiesling,1939,1956,7,70,25,41,4,0.386,-16,0,0,0.000,4.1,2,0,0,0
jock sutherland,1946,1947,2,23,13,9,1,0.591,4,0,1,0.000,2.0,1,0,0,0
john michelosen,1948,1951,4,48,20,26,2,0.438,-6,0,0,0.000,3.0,2,0,0,0
buddy parker,1957,1964,8,104,51,47,6,0.519,4,0,0,0.000,4.0,2,0,0,0
bill austin,1966,1968,3,42,11,28,3,0.282,-17,0,0,0.000,4.7,4,0,0,0
chuck noll,1969,1991,23,342,193,148,1,0.566,45,16,8,0.667,2.1,1,4,4,4
bill cowher,1992,2006,15,240,149,90,1,0.623,59,12,9,0.571,1.9,1,1,1,2
mike tomlin,2007,2025,19,309,193,114,2,0.628,79,8,12,0.400,1.8,1,1,1,2
