coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,playoff_wins,playoff_losses,playoff_win_pct,AvRnk,BstRnk,g_above_500,Chmp,super_bowl_w,conf_wins
buck shaw,1946,1954,9,114,71,39,4,0.640,1,1,0.500,2.6,2,32,0,0,0
frankie albert,1956,1958,3,36,19,16,1,0.542,0,1,0.000,2.7,1,3,0,0,0
red hickey,1959,1963,5,55,27,27,1,0.500,0,0,0.000,4.4,2,0,0,0,0
jack christiansen,1963,1967,5,67,26,38,3,0.410,0,0,0.000,5.0,3,-12,0,0,0
dick nolan,1968,1975,8,112,54,53,5,0.504,2,3,0.400,2.1,1,1,0,0,0
bill walsh,1979,1988,10,152,92,59,1,0.609,10,4,0.714,1.8,1,33,3,3,3
george seifert,1989,1996,8,128,98,30,0,0.766,10,5,0.667,1.4,1,68,2,2,2
steve mariucci,1997,2002,6,96,57,39,0,0.594,3,4,0.429,2.3,1,18,0,0,0
dennis erickson,2003,2004,2,32,9,23,0,0.281,0,0,0.000,3.5,3,-14,0,0,0
mike nolan,2005,2008,4,55,18,37,0,0.327,0,0,0.000,3.0,2,-19,0,0,0
mike singletary,2008,2010,3,40,18,22,0,0.450,0,0,0.000,2.3,2,-4,0,0,0
jim harbaugh,2011,2014,4,64,44,19,1,0.695,5,3,0.625,1.8,1,25,0,0,1
kyle shanahan,2017,2025,9,149,82,67,0,0.550,9,5,0.643,2.6,1,15,0,0,2
