coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
john mckay,1976,1984,9,133,44,88,1,0.335,-44,1,3,0.250,3.6,1,0,0,0
leeman bennett,1985,1986,2,32,4,28,0,0.125,-24,0,0,0.000,5.0,5,0,0,0
ray perkins,1987,1990,4,60,19,41,0,0.317,-22,0,0,0.000,3.5,2,0,0,0
sam wyche,1992,1995,4,64,23,41,0,0.359,-18,0,0,0.000,4.5,3,0,0,0
tony dungy,1996,2001,6,96,54,42,0,0.563,12,2,4,0.333,2.5,1,0,0,0
jon gruden,2002,2008,7,112,57,55,0,0.509,2,3,2,0.600,2.4,1,1,1,1
raheem morris,2009,2011,3,48,17,31,0,0.354,-14,0,0,0.000,3.7,3,0,0,0
greg schiano,2012,2013,2,32,11,21,0,0.344,-10,0,0,0.000,4.0,4,0,0,0
lovie smith,2014,2015,2,32,8,24,0,0.250,-16,0,0,0.000,4.0,4,0,0,0
dirk koetter,2016,2018,3,48,19,29,0,0.396,-10,0,0,0.000,3.3,2,0,0,0
bruce arians,2019,2021,3,49,31,18,0,0.633,13,5,1,0.833,2.0,1,1,1,1
todd bowles,2022,2025,4,68,35,33,0,0.515,2,1,3,0.250,1.3,1,0,0,0
