coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
wally lemm,1961,1970,6,79,37,38,4,0.494,-1,1,2,0.333,2.3,1,1,0,0
pop ivy,1962,1963,2,28,17,11,0,0.607,6,0,1,0.000,2.0,1,0,0,0
sid gillman,1973,1974,2,23,8,15,0,0.348,-7,0,0,0.000,3.0,2,0,0,0
bum phillips,1975,1980,6,90,55,35,0,0.611,20,4,3,0.571,2.7,2,0,0,0
ed biles,1981,1983,3,31,8,23,0,0.258,-15,0,0,0.000,3.7,3,0,0,0
hugh campbell,1984,1985,2,30,8,22,0,0.267,-14,0,0,0.000,4.0,4,0,0,0
jerry glanville,1985,1989,5,65,33,32,0,0.508,1,2,3,0.400,3.0,2,0,0,0
jack pardee,1990,1994,5,74,43,31,0,0.581,12,1,4,0.200,2.0,1,0,0,0
jeff fisher,1994,2010,17,262,142,120,0,0.542,22,5,6,0.455,2.6,1,0,0,1
mike munchak,2011,2013,3,48,22,26,0,0.458,-4,0,0,0.000,2.3,2,0,0,0
ken whisenhunt,2014,2015,2,23,3,20,0,0.130,-17,0,0,0.000,4.0,4,0,0,0
mike mularkey,2015,2017,3,41,20,21,0,0.488,-1,1,1,0.500,2.7,2,0,0,0
mike vrabel,2018,2023,6,99,54,45,0,0.545,9,2,3,0.400,2.2,1,0,0,0
brian callahan,2024,2025,2,23,4,19,0,0.174,-15,0,0,0.000,4.0,4,0,0,0
