coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
lone star dietz,1933,1934,2,24,11,11,2,0.500,0,0,0,0.000,2.5,2,0,0,0
ray flaherty,1936,1942,7,78,54,21,3,0.712,33,2,2,0.500,1.6,1,2,0,0
dudley degroot,1944,1945,2,20,14,5,1,0.725,9,0,1,0.000,2.0,1,0,0,0
turk edwards,1946,1948,3,35,16,18,1,0.471,-2,0,0,0.000,3.0,2,0,0,0
herman ball,1949,1951,3,20,4,16,0,0.200,-12,0,0,0.000,4.3,3,0,0,0
curly lambeau,1952,1953,2,24,10,13,1,0.438,-3,0,0,0.000,4.0,3,0,0,0
joe kuharich,1954,1958,5,60,26,32,2,0.450,-6,0,0,0.000,3.6,2,0,0,0
mike nixon,1959,1960,2,24,4,18,2,0.208,-14,0,0,0.000,5.5,5,0,0,0
bill mcpeak,1961,1965,5,70,21,46,3,0.321,-25,0,0,0.000,4.8,3,0,0,0
otto graham,1966,1968,3,42,17,22,3,0.440,-5,0,0,0.000,3.7,3,0,0,0
george allen,1971,1977,7,98,67,30,1,0.689,37,2,5,0.286,2.0,1,0,0,1
jack pardee,1978,1980,3,48,24,24,0,0.500,0,0,0,0.000,3.0,3,0,0,0
joe gibbs,1981,2007,16,248,154,94,0,0.621,60,17,7,0.708,2.4,1,3,3,4
norv turner,1994,2000,7,109,49,59,1,0.454,-10,1,1,0.500,3.0,1,0,0,0
steve spurrier,2002,2003,2,32,12,20,0,0.375,-8,0,0,0.000,3.0,3,0,0,0
jim zorn,2008,2009,2,32,12,20,0,0.375,-8,0,0,0.000,4.0,4,0,0,0
mike shanahan,2010,2013,4,64,24,40,0,0.375,-16,0,1,0.000,3.3,1,0,0,0
jay gruden,2014,2019,6,85,35,49,1,0.418,-14,0,1,0.000,3.0,1,0,0,0
ron rivera,2020,2023,4,67,26,40,1,0.396,-14,0,1,0.000,3.0,1,0,0,0
dan quinn,2024,2025,2,34,17,17,0,0.500,0,2,1,0.667,2.5,2,0,0,0
