Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
1,1,HOU,John Matuszak,DE,22,1981,0,0,7,45,4,123,0,0,0,0,0,0,0,0,0,0,0,,48.5,Tampa,,MatuJo20
1,2,BAL,Bert Jones,QB,22,1982,1,1,6,80,78,102,1430,2551,18190,124,101,247,1429,14,0,0,0,,,LSU,College Stats,JoneBe00
1,3,PHI,Jerry Sisemore,T,22,1984,0,2,11,62,62,156,0,0,0,0,0,0,0,0,0,0,0,,,Texas,College Stats,SiseJe00
1,4,NWE,John Hannah HOF,G,22,1985,7,9,13,112,112,183,0,0,0,0,0,0,0,0,0,0,0,,,Alabama,College Stats,HannJo00
1,5,STL,Dave Butz,DT,23,1988,1,1,14,80,1,216,0,0,0,0,0,0,0,0,0,0,0,2,64.0,Purdue,College Stats,ButzDa00
1,6,PHI,Charle Young,TE,22,1985,1,3,10,47,29,187,0,0,0,0,0,16,80,1,418,5106,27,,,USC,College Stats,YounCh00
1,7,BUF,Paul Seymour,TE,23,1977,0,0,5,11,11,69,0,0,0,0,0,0,0,0,62,818,3,,,Michigan,College Stats,SeymPa00
1,8,CHI,Wally Chambers,DT,22,1979,1,3,5,48,38,88,0,0,0,0,0,0,0,0,0,0,0,1,45.5,Eastern Kentucky,,ChamWa00
1,9,DEN,Otis Armstrong,RB,22,1980,1,2,4,53,53,96,0,0,0,0,0,1023,4453,25,131,1302,7,,,Purdue,College Stats,ArmsOt00
1,10,BAL,Joe Ehrmann,DT,24,1982,0,0,6,33,30,121,0,0,0,0,0,0,0,0,0,0,0,1,41.5,Syracuse,,EhrmJo00
1,11,NWE,Sam Cunningham,RB,23,1982,0,1,8,62,62,107,0,0,0,0,0,1385,5453,43,210,1905,6,,,USC,College Stats,CunnSa00
1,12,MIN,Chuck Foreman,RB,22,1980,1,5,6,78,77,109,0,0,0,0,0,1556,5950,53,350,3156,23,,,Miami (FL),College Stats,ForeCh00
1,13,NYJ,Burgess Owens,DB,22,1982,0,0,10,50,32,137,0,0,0,0,0,0,0,0,0,0,0,30,1.0,Miami (FL),College Stats,OwenBu20
1,14,HOU,George Amundson,RB,22,1975,0,0,0,4,4,29,0,1,0,0,1,74,194,4,25,212,1,,,Iowa St.,College Stats,AmunGe00
1,15,CIN,Isaac Curtis,WR,22,1984,0,4,12,67,67,167,0,0,0,0,0,25,76,0,416,7101,53,,,San Diego St.,College Stats,CurtIs00
1,16,CLE,Steve Holden,WR,22,1977,0,0,2,11,11,54,0,0,0,0,0,3,2,0,62,927,4,,,Arizona St.,College Stats,HoldSt00
1,17,DET,Ernie Price,DE,22,1979,0,0,1,19,15,81,0,0,0,0,0,0,0,0,0,0,0,,13.0,Texas A&M-Kingsville,,PricEr20
1,18,SFO,Mike Holmes,DB,22,1976,0,0,0,11,10,31,0,0,0,0,0,1,-4,0,17,231,1,3,,Texas Southern,,HolmMi00
1,19,NWE,Darryl Stingley,WR,21,1977,0,0,4,27,27,60,0,0,0,0,0,28,244,2,110,1883,14,,,Purdue,College Stats,StinDa00
1,20,DAL,Billy Joe DuPree,TE,23,1983,0,3,8,40,40,159,0,0,0,0,0,26,178,1,267,3565,41,,,Michigan St.,College Stats,DuprBi00
1,21,GNB,Barry Smith,WR,22,1976,0,0,3,8,7,54,0,0,0,0,0,1,5,0,45,692,4,,,Florida St.,College Stats,SmitBa01
1,22,CLE,Pete Adams,G,22,1976,0,0,2,11,11,25,0,0,0,0,0,0,0,0,0,0,0,,,USC,,AdamPe20
1,23,OAK,Ray Guy HOF,P,23,1986,3,7,0,32,32,207,2,3,54,0,1,11,43,0,0,0,0,,,Southern Miss,College Stats,GuyxRa20
1,24,PIT,J.T. Thomas,DB,22,1982,0,1,6,43,42,125,0,0,0,0,0,0,0,0,0,0,0,20,,Florida St.,,ThomJ.01
1,25,SDG,Johnny Rodgers,WR,22,1978,0,0,1,4,4,17,0,0,0,0,0,4,49,0,17,234,0,,,Nebraska,College Stats,RodgJo00
1,26,BUF,Joe DeLamielleure HOF,G,22,1985,3,6,12,87,53,185,0,0,0,0,0,0,0,0,0,0,0,,,Michigan St.,,DeLaJo01
2,27,KAN,Gary Butler,TE,22,1977,0,0,0,1,1,25,0,0,0,0,0,2,10,0,9,145,2,,,Rice,College Stats,ButlGa00
2,28,PHI,Guy Morriss,C,22,1987,0,0,12,62,57,217,0,0,0,0,0,0,0,0,0,0,0,,,TCU,,MorrGu20
2,29,NOR,Derland Moore,DT,21,1986,0,0,11,51,51,171,0,0,0,0,0,0,0,0,0,0,0,1,48.0,Oklahoma,,MoorDe22
2,30,CLE,Greg Pruitt,RB,22,1984,0,5,6,70,68,158,8,19,182,6,2,1196,5672,27,328,3069,18,,,Oklahoma,College Stats,PruiGr00
2,31,RAM,Cullen Bryant,RB,22,1987,0,0,4,30,29,153,0,0,0,0,0,849,3264,20,148,1176,3,,,Colorado,College Stats,BryaCu00
2,32,BUF,Jeff Winans,G,21,1978,0,0,1,9,6,35,0,0,0,0,0,0,0,0,0,0,0,,4.0,USC,,WinaJe20
2,33,CHI,Gary Huff,QB,22,1978,0,0,3,10,8,57,392,788,4329,16,50,50,86,2,0,0,0,,,Florida St.,College Stats,HuffGa00
2,34,MIN,Jackie Wallace,DB,22,1979,0,0,3,23,5,70,0,0,0,0,0,0,0,0,1,13,0,11,,Arizona,,WallJa20
2,35,BAL,Mike Barnes,DT,22,1981,0,1,7,40,40,113,0,0,0,0,0,0,0,0,0,0,0,,44.5,Miami (FL),,BarnMi00
2,36,DEN,Barney Chavous,DE,22,1985,0,0,13,69,69,183,0,0,0,0,0,0,0,0,0,0,0,,75.0,South Carolina St.,,ChavBa20
2,37,RAM,Ron Jaworski,QB,22,1989,0,1,10,85,2,188,2187,4117,28190,179,164,257,859,16,0,0,0,,,Youngstown St.,,JawoRo00
2,38,NYJ,Robert Woods,T,23,1980,0,0,6,36,21,99,0,0,0,0,0,0,0,0,0,0,0,,,Tennessee St.,,WoodRo21
2,39,ATL,Greg Marx,DE,23,1973,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,College Stats,MarxGr20
2,40,NYG,Brad Van Pelt,LB,22,1986,0,5,12,73,66,184,0,0,0,0,0,0,0,0,1,20,0,20,24.5,Michigan St.,College Stats,VanPBr01
2,41,SFO,Willie Harper,LB,23,1983,0,0,7,43,43,134,0,0,0,0,0,0,0,0,0,0,0,3,11.5,Nebraska,College Stats,HarpWi20
2,42,RAM,Jim Youngblood,LB,23,1984,0,1,7,58,58,156,0,0,0,0,0,0,0,0,0,0,0,14,15.5,Tennessee Tech,,YounJi01
2,43,CIN,Al Chandler,TE,22,1979,0,0,1,3,0,85,0,0,0,0,0,0,0,0,35,367,9,,,Oklahoma,College Stats,ChanAl00
