season,qb_name,games_started,comp_perc,yards,td,int,rating,rate_plus,pro_bowl,ap_team,mvp_votes
1960,ralph guglielmi,11,56.1,1547,9,19,55.7,90,,,
1961,norm snead,14,45.1,2337,11,22,51.6,82,,,
1962,norm snead,14,52,2926,22,22,74.7,104,TRUE,,
1963,norm snead,14,48.2,3043,13,27,58.1,84,TRUE,,
1964,sonny jurgeson,14,53.8,2934,24,13,85.4,114,TRUE,,
1965,sonny jurgeson,13,53.4,2367,15,16,69.6,99,,,
1966,sonny jurgeson,14,58.3,3209,28,19,84.5,115,TRUE,,TRUE
1967,sonny jurgeson,14,56.7,3747,31,16,87.3,120,TRUE,TRUE,
1968,sonny jurgeson,12,57.2,1980,17,11,81.7,115,,,
1969,sonny jurgeson,14,62,3102,22,15,85.4,119,TRUE,TRUE,TRUE
1970,sonny jurgeson,14,59.9,2354,23,10,91.5,127,,,
1971,billy kilmer,13,54.2,2221,13,13,74,114,,,TRUE
1972,billy kilmer,10,53.3,1648,19,11,84.8,122,TRUE,,TRUE
1973,billy kilmer,10,53.7,1656,14,9,81.3,110,,,
1974,billy kilmer,10,58.5,1632,10,6,83.5,117,,,
1975,billy kilmer,12,51.4,2440,23,16,77.2,112,,,
1976,billy kilmer,9,52.4,1252,12,10,70.3,111,,,
1977,billy kilmer,8,49.3,1187,8,7,66.5,93,,,
1978,joe theismann,14,47.9,2593,13,18,61.6,94,,,
1979,joe theismann,16,59,2797,20,13,83.9,120,,,
1980,joe theismann,15,57.7,2962,17,16,75.2,104,,,
1981,joe theismann,16,59.1,3568,19,20,77.3,106,,,
1982,joe theismann,9,63.9,2033,13,9,91.3,122,TRUE,,TRUE
1983,joe theismann,16,60.1,3714,29,11,97,126,TRUE,TRUE,TRUE
1984,joe theismann,16,59.3,3391,24,13,86.6,114,,,
1985,joe theismann,11,55.5,1774,8,16,59.6,80,,,
1986,jay schroeder,16,51,4109,22,22,72.9,117,TRUE,,
1987,jay schroeder,10,48.3,1878,12,10,71,108,,,
1988,doug williams,10,56.6,1156,11,5,94,116,,,
1989,mark rypien,14,58.8,3768,22,13,88.1,117,TRUE,,
1990,mark rypien,10,54.6,2070,16,11,78.4,103,,,
1991,mark rypien,16,59.1,3564,28,11,97.9,130,TRUE,,TRUE
1992,mark rypien,16,56.2,3282,13,17,71.7,94,,,
1993,mark rypien,10,52,1514,4,10,56.3,73,,,
1994,heath shuler,8,45.3,1658,10,12,59.6,75,,,
1995,gus frerotte,11,50.3,2751,13,13,70.2,89,,,
1996,gus frerotte,16,57.4,3453,12,11,79.3,102,TRUE,,
1997,gus frerotte,13,50.7,2682,17,12,73.8,96,,,
1998,trent green,14,54.6,3441,23,11,81.8,105,,,
1999,brad johnson,16,60.9,4005,24,13,90,114,TRUE,,
2000,brad johnson,11,62.5,2505,11,15,75.7,97,,,
2001,tony banks,14,53.5,2386,10,10,71.3,89,,,
2002,shane matthews,7,52.3,1251,11,6,72.6,90,,,
2003,patrick ramsey,11,53.1,2166,14,9,75.8,94,,,
2004,mark brunell,9,49.8,1194,7,6,63.9,79,,,
2005,mark brunell,15,57.7,3050,23,10,85.9,106,,,
2006,mark brunell,9,62.3,1789,8,4,86.5,107,,,
2007,jason campbell,13,60,2700,12,11,77.6,94,,,
2008,jason campbell,16,62.3,3245,13,6,84.3,102,,,
2009,jason campbell,16,64.5,3618,20,15,86.4,104,,,
2010,donovan mcnabb,13,58.3,3377,14,15,77.1,92,,,
2011,rex grossman,11,57.9,3151,16,20,72.4,84,,,
2012,robert griffin iii,15,65.6,3200,20,5,102.4,121,TRUE,,
2013,robert griffin iii,13,60.1,3203,16,12,82.2,94,,,
2014,robert griffin iii,7,68.7,1694,4,6,86.9,98,,,
2015,kirk cousins,16,69.8,4166,29,11,101.6,118,,,
2016,kirk cousins,16,67,4917,25,12,97.2,112,TRUE,,
2017,kirk cousins,16,64.3,4093,27,13,93.9,105,,,
2018,alex smith,10,62.5,2180,10,5,85.7,94,,,
2019,case keenum,8,64.8,1707,11,5,91.3,99,,,
2020,alex smith,6,66.7,1582,6,8,78.5,82,,,
2021,taylor heinicke,15,65,3419,20,15,85.9,92,,,
