qb_name,team,start_year,end_year,rate_plus,is_homegrown
lamar mchan,ari,1954,1957,87,TRUE
charley johnson,ari,1962,1966,100,TRUE
jim hart,ari,1967,1981,99,TRUE
neil lomax,ari,1982,1988,112,TRUE
jake plummer,ari,1997,2002,88,TRUE
kurt warner,ari,2005,2009,112,FALSE
carson palmer,ari,2013,2017,104,FALSE
kyler murray,ari,2019,2025,102,TRUE
randy johnson,atl,1966,1968,79,TRUE
bob berry,atl,1969,1972,117,TRUE
steve bartkowski,atl,1975,1984,107,TRUE
chris miller,atl,1988,1992,103,TRUE
chris chandler,atl,1997,2001,112,FALSE
michael vick,atl,2002,2006,95,TRUE
matt ryan,atl,2008,2021,108,TRUE
kyle boller,bal,2003,2007,88,TRUE
joe flacco,bal,2008,2017,97,TRUE
lamar jackson,bal,2018,2025,117,TRUE
jack kemp,buf,1963,1969,93,FALSE
joe ferguson,buf,1973,1984,98,TRUE
jim kelly,buf,1986,1996,111,TRUE
doug flutie,buf,1998,2000,105,FALSE
drew bledsoe,buf,2002,2004,99,FALSE
jp losman,buf,2006,2008,98,TRUE
ryan fitzpatrick,buf,2009,2012,94,FALSE
tyrod taylor,buf,2015,2017,105,FALSE
josh allen,buf,2018,2025,106,TRUE
kerry collins,car,1995,1997,83,TRUE
steve beuerlein,car,1998,2000,112,FALSE
jake delhomme,car,2003,2009,102,TRUE
cam newton,car,2011,2020,97,TRUE
bryce young,car,2021,2025,84,TRUE
ed brown,chi,1955,1960,98,TRUE
billy wade,chi,1961,1964,104,FALSE
jack concannon,chi,1967,1970,88,FALSE
bobby douglass,chi,1971,1973,81,TRUE
bob avellini,chi,1976,1978,88,TRUE
jim mcmahon,chi,1982,1988,107,TRUE
jim harbaugh,chi,1990,1993,99,TRUE
jay cutler,chi,2009,2015,99,FALSE
mitchell trubisky,chi,2017,2020,95,TRUE
justin fields,chi,2021,2023,84,TRUE
ken anderson,cin,1972,1984,115,TRUE
boomer esiason,cin,1985,1992,110,TRUE
jeff blake,cin,1994,1999,102,TRUE
jon kitna,cin,2001,2003,93,FALSE
carson palmer,cin,2004,2010,106,TRUE
andy dalton,cin,2011,2019,99,TRUE
joe burrow,cin,2020,2025,116,TRUE
otto graham,cle,1950,1955,122,TRUE
milt plum,cle,1958,1961,124,TRUE
frank ryan,cle,1962,1967,112,FALSE
bill nelsen,cle,1968,1971,107,FALSE
mike phipps,cle,1972,1975,85,TRUE
brian sipe,cle,1976,1983,108,TRUE
bernie kosar,cle,1985,1993,109,TRUE
tim couch,cle,1999,2003,95,TRUE
baker mayfield,cle,2018,2021,95,TRUE
eddie lebaron,dal,1960,1962,103,FALSE
don meredith,dal,1963,1968,107,TRUE
roger staubach,dal,1971,1979,122,TRUE
danny white,dal,1980,1987,106,TRUE
troy aikman,dal,1989,2000,106,TRUE
quincy carter,dal,2001,2003,86,TRUE
tony romo,dal,2006,2014,116,TRUE
dak prescott,dal,2016,2025,112,TRUE
frank tripucka,den,1960,1962,96,FALSE
charley johnson,den,1972,1975,109,FALSE
craig morton,den,1977,1981,113,FALSE
john elway,den,1983,1998,105,TRUE
brian griese,den,1999,2002,109,TRUE
jake plummer,den,2003,2006,105,FALSE
peyton manning,den,2012,2015,118,FALSE
bobby layne,det,1950,1956,108,TRUE
bill munson,det,1968,1970,110,FALSE
greg landry,det,1971,1973,108,TRUE
eric hipple,det,1981,1986,92,TRUE
rodney peete,det,1989,1993,96,TRUE
scott mitchell,det,1994,1997,103,FALSE
charlie batch,det,1998,2001,98,TRUE
joey harrington,det,2002,2005,83,TRUE
matthew stafford,det,2009,2020,103,TRUE
jared goff,det,2021,2025,117,FALSE
tobin rote,gb ,1950,1956,97,TRUE
bart starr,gb ,1957,1970,113,TRUE
lynn dickey,gb ,1976,1985,102,FALSE
don majkowski,gb ,1988,1991,97,TRUE
brett favre,gb ,1992,2007,110,TRUE
aaron rodgers,gb ,2008,2022,121,TRUE
jordan love,gb ,2023,2025,112,TRUE
david carr,hou,2002,2006,93,TRUE
matt schaub,hou,2007,2013,108,TRUE
deshaun watson,hou,2018,2020,118,TRUE
cj stroud,hou,2023,2025,106,TRUE
johnny unitas,ind,1956,1972,112,TRUE
bert jones,ind,1974,1981,111,TRUE
mike pagel,ind,1982,1985,89,TRUE
jack trudeau,ind,1986,1989,84,TRUE
jeff george,ind,1990,1993,94,TRUE
jim harbaugh,ind,1994,1997,112,FALSE
peyton manning,ind,1998,2010,118,TRUE
andrew luck,ind,2012,2018,102,TRUE
mark brunell,jax,1995,2002,109,TRUE
byron leftwich,jax,2003,2005,100,TRUE
david garrard,jax,2006,2010,105,TRUE
blake bortles,jax,2014,2018,88,TRUE
trevor lawrence,jax,2021,2025,94,TRUE
len dawson,kc ,1962,1974,120,FALSE
mike livingston,kc ,1975,1978,101,TRUE
bill kenney,kc ,1981,1987,104,TRUE
steve deberg,kc ,1988,1991,108,FALSE
elvis grbac,kc ,1997,2000,104,TRUE
trent green,kc ,2001,2006,109,FALSE
matt cassel,kc ,2009,2012,95,FALSE
alex smith,kc ,2013,2017,108,FALSE
patrick mahomes,kc ,2018,2025,114,TRUE
john hadl,lac,1962,1972,106,TRUE
dan fouts,lac,1973,1987,112,TRUE
stan humphries,lac,1992,1997,99,TRUE
drew brees,lac,2002,2005,105,TRUE
philip rivers,lac,2006,2019,111,TRUE
justin herbert,lac,2020,2025,108,TRUE
norm van brocklin,lar,1952,1957,112,TRUE
billy wade,lar,1958,1960,107,TRUE
roman gabriel,lar,1962,1972,107,TRUE
pat haden,lar,1976,1979,106,TRUE
vince ferragamo,lar,1980,1983,111,TRUE
jim everett,lar,1987,1993,103,TRUE
tony banks,lar,1996,1998,91,TRUE
kurt warner,lar,1999,2002,124,TRUE
marc bulger,lar,2003,2009,102,TRUE
sam bradford,lar,2010,2013,93,TRUE
jared goff,lar,2016,2020,101,TRUE
matthew stafford,lar,2021,2025,112,FALSE
tom flores,oak,1960,1966,109,TRUE
daryle lamonica,oak,1967,1972,114,FALSE
ken stabler,oak,1973,1979,117,TRUE
jim plunkett,oak,1980,1986,102,FALSE
jay schroeder,oak,1988,1992,95,FALSE
jeff hostetler,oak,1993,1996,106,FALSE
rich gannon,oak,1999,2003,118,FALSE
derek carr,oak,2014,2022,102,TRUE
bob griese,mia,1967,1979,113,TRUE
david woodley,mia,1980,1982,90,TRUE
dan marino,mia,1983,1999,113,TRUE
jay fieldler,mia,2000,2004,97,TRUE
ryan tannehill,mia,2012,2018,99,TRUE
tua tagovailoa,mia,2020,2025,110,TRUE
fran tarkenton,min,1961,1978,115,TRUE
tommy kramer,min,1979,1986,101,TRUE
wade wilson,min,1987,1989,106,TRUE
rich gannon,min,1990,1992,97,TRUE
warren moon,min,1994,1996,107,FALSE
daunte culpepper,min,2000,2004,118,TRUE
kirk cousins,min,2018,2023,115,FALSE
babe parilli,ne ,1961,1967,103,FALSE
jim plunkett,ne ,1971,1975,95,TRUE
steve grogan,ne ,1976,1983,101,TRUE
tony eason,ne ,1984,1986,113,TRUE
drew bledsoe,ne ,1993,2000,97,TRUE
tom brady,ne ,2001,2019,116,TRUE
mac jones,ne ,2021,2023,103,TRUE
billy kilmer,no ,1968,1970,99,FALSE
archie manning,no ,1971,1981,102,TRUE
bobby hebert,no ,1987,1992,108,TRUE
jim everett,no ,1994,1996,104,FALSE
aaron brooks,no ,2001,2005,99,TRUE
drew brees,no ,2006,2020,120,FALSE
