season,qb_name,games_started,comp_perc,yards,td,int,rating,rate_plus,pro_bowl,ap_team,mvp_votes
1960,george blanda,11,46.6,2413,24,22,65.4,105,FALSE,FALSE,FALSE
1961,george blanda,11,51.7,3330,36,22,91.3,130,TRUE,TRUE,FALSE
1962,george blanda,14,47.1,2810,27,42,51.3,91,TRUE,TRUE,FALSE
1963,george blanda,12,53,3003,24,25,70.1,108,TRUE,TRUE,FALSE
1964,george blanda,13,51.9,3287,17,27,61.4,99,FALSE,FALSE,FALSE
1965,george blanda,12,42.1,2542,20,30,47.9,87,FALSE,FALSE,FALSE
1966,george blanda,8,45,1764,17,21,55.3,95,FALSE,FALSE,FALSE
1967,pete beathard,9,41,1114,9,14,44.2,84,FALSE,FALSE,FALSE
1968,pete beathard,7,47.1,1559,7,16,51,88,FALSE,FALSE,FALSE
1969,pete beathard,11,48.6,2455,10,21,55.6,92,FALSE,FALSE,FALSE
1970,charley johnson,10,51.2,1652,7,12,59.8,94,FALSE,FALSE,FALSE
1971,dan pastorini,8,47,1702,7,21,43.8,77,FALSE,FALSE,FALSE
1972,dan pastorini,12,48.2,1711,7,12,57.1,92,FALSE,FALSE,FALSE
1973,dan pastorini,10,53.1,1482,5,17,49,81,FALSE,FALSE,FALSE
1974,dan pastorini,10,56.7,1571,10,10,72.4,108,FALSE,FALSE,FALSE
1975,dan pastorini,14,47.7,2053,14,16,61,95,TRUE,FALSE,FALSE
1976,dan pastorini,10,54,1795,10,10,68.6,104,FALSE,FALSE,FALSE
1977,dan pastorini,12,53,1987,13,18,62.3,97,FALSE,FALSE,FALSE
1978,dan pastorini,16,54.1,2473,16,17,70.4,106,FALSE,FALSE,FALSE
1979,dan pastorini,15,50.3,2090,14,18,62.1,88,FALSE,FALSE,FALSE
1980,ken stabler,16,64.1,3202,13,28,68.7,94,FALSE,FALSE,FALSE
1981,ken stabler,12,57.9,1988,14,18,69.5,94,FALSE,FALSE,FALSE
1982,archie manning,5,52.8,877,6,6,71.3,96,FALSE,FALSE,FALSE
1983,gifford nielsen,7,51.4,1125,5,8,62.2,84,FALSE,FALSE,FALSE
1984,warren moon,14,57.6,3338,12,14,76.9,102,FALSE,FALSE,FALSE
1985,warren moon,14,53.1,2709,15,19,68.5,92,FALSE,FALSE,FALSE
1986,warren moon,15,52.5,3489,13,26,62.3,84,FALSE,FALSE,FALSE
1987,warren moon,12,50,2806,21,18,74.2,100,FALSE,FALSE,FALSE
1988,warren moon,11,54.4,2327,17,8,88.4,117,TRUE,FALSE,TRUE
1989,warren moon,16,60.3,3631,23,14,88.9,118,TRUE,FALSE,FALSE
1990,warren moon,15,62,4689,33,13,96.8,129,TRUE,TRUE,TRUE
1991,warren moon,16,61.7,4690,23,21,81.7,107,TRUE,FALSE,FALSE
1992,warren moon,10,64.7,2521,18,12,89.3,118,TRUE,FALSE,FALSE
1993,warren moon,14,58.3,3485,21,21,75.2,98,TRUE,FALSE,TRUE
1994,billy joe tolliver,7,50.4,1287,6,7,62.6,74,FALSE,FALSE,FALSE
1995,chris chandler,13,63.2,2460,17,10,87.8,114,FALSE,FALSE,FALSE
1996,chris chandler,12,57.5,2099,16,11,79.7,103,FALSE,FALSE,FALSE
1997,steve mcnair,16,52,2665,14,13,70.4,91,FALSE,FALSE,FALSE
1998,steve mcnair,16,58.7,3228,15,10,80.1,103,FALSE,FALSE,FALSE
1999,steve mcnair,11,56.5,2179,12,8,78.6,101,FALSE,FALSE,FALSE
2000,steve mcnair,15,62.6,2847,15,13,83.2,107,TRUE,FALSE,FALSE
2001,steve mcnair,15,61.3,3350,21,12,90.2,116,FALSE,FALSE,FALSE
2002,steve mcnair,16,61.2,3387,22,15,84,107,FALSE,FALSE,FALSE
2003,steve mcnair,14,62.5,3215,24,7,100.4,126,TRUE,TRUE,TRUE
2004,steve mcnair,8,60,1343,8,9,73.1,91,FALSE,FALSE,FALSE
2005,steve mcnair,14,61.3,3161,16,11,82.4,102,TRUE,FALSE,FALSE
2006,vince young,13,51.5,2199,12,13,66.7,81,TRUE,FALSE,FALSE
2007,vince young,15,62.3,2546,9,17,71.1,85,FALSE,FALSE,FALSE
2008,kerry collins,15,58.3,2676,12,7,80.2,97,TRUE,FALSE,FALSE
2009,vince young,10,58.7,1879,10,7,82.8,99,TRUE,FALSE,FALSE
2010,vince young,8,59.6,1255,10,3,98.6,117,FALSE,FALSE,FALSE
2011,matt hasselbeck,16,61.6,3571,18,14,82.4,97,FALSE,FALSE,FALSE
2012,jake locker,12,56.4,2176,10,11,74,86,FALSE,FALSE,FALSE
2013,ryan fitzpatrick,9,62,2454,14,12,82,94,FALSE,FALSE,FALSE
2014,zach mettenberger,6,59.8,1412,8,7,83.4,93,FALSE,FALSE,FALSE
2015,marcus mariota,12,62.2,2818,19,10,91.5,103,FALSE,FALSE,FALSE
2016,marcus mariota,15,61.2,3426,26,9,95.6,110,FALSE,FALSE,FALSE
2017,marcus mariota,15,62,3232,13,15,79.3,86,FALSE,FALSE,FALSE
2018,marcus mariota,13,68.9,2528,11,8,92.3,103,FALSE,FALSE,FALSE
2019,ryan tannehill,10,70.3,2742,22,6,117.5,133,TRUE,FALSE,FALSE
2020,ryan tannehill,16,65.5,3819,33,7,106.5,120,FALSE,FALSE,FALSE
2021,ryan tannehill,17,67.2,3734,21,14,89.6,97,FALSE,FALSE,FALSE
